X (ms);C0:Drive_1.r61[0];C1:Drive_1.r80[0];C2:Drive_1.r70
50980,000000;1501,808105;-0,273813;650,400024
51000,000000;1498,024414;-0,272580;652,200012
51020,000000;1500,863892;-0,285515;651,299988
51040,000000;1498,496460;-0,242346;652,200012
51060,000000;1501,335938;-0,281987;650,400024
51080,000000;1499,912720;-0,233425;651,299988
51100,000000;1502,830933;-0,242611;650,400024
51120,000000;1500,384766;-0,231979;651,299988
51140,000000;1501,843872;-0,227638;650,400024
51160,000000;1499,912720;-0,236240;650,400024
51180,000000;1501,808105;-0,267596;649,500000
51200,000000;1499,383423;-0,247554;650,400024
51220,000000;1501,335938;-0,270165;649,500000
51240,000000;1498,968506;-0,250044;650,400024
51260,000000;1500,863892;-0,276964;649,500000
51280,000000;1498,968506;-0,262776;650,400024
51300,000000;1502,280151;-0,287997;650,400024
51320,000000;1498,896973;-0,268719;651,299988
51340,000000;1501,843872;-0,269775;651,299988
51360,000000;1498,896973;-0,263590;652,200012
51380,000000;1501,335938;-0,261353;650,400024
51400,000000;1499,383423;-0,248944;651,299988
51420,000000;1500,863892;-0,249870;651,299988
51440,000000;1499,440674;-0,240933;651,299988
51460,000000;1501,335938;-0,240872;651,299988
51480,000000;1500,863892;-0,245447;651,299988
51500,000000;1502,759399;-0,248843;651,299988
51520,000000;1500,863892;-0,225118;651,299988
51540,000000;1501,350342;-0,216954;650,400024
51560,000000;1499,876831;-0,227584;651,299988
51580,000000;1502,280151;-0,253582;650,400024
51600,000000;1501,335938;-0,206749;651,299988
51620,000000;1503,324341;-0,245259;650,400024
51640,000000;1500,384766;-0,201566;651,299988
51660,000000;1501,350342;-0,250062;649,500000
51680,000000;1498,968506;-0,223014;650,400024
51700,000000;1500,863892;-0,236401;649,500000
51720,000000;1498,968506;-0,241867;650,400024
51740,000000;1501,335938;-0,252571;649,500000
51760,000000;1499,440674;-0,239231;650,400024
51780,000000;1502,337402;-0,252271;650,400024
51800,000000;1500,384766;-0,230520;651,299988
51820,000000;1502,759399;-0,248918;650,400024
51840,000000;1499,876831;-0,241735;650,400024
51860,000000;1501,843872;-0,275320;649,500000
51880,000000;1499,440674;-0,265684;650,400024
51900,000000;1501,335938;-0,276932;649,500000
51920,000000;1498,968506;-0,248763;650,400024
51940,000000;1500,863892;-0,278948;649,500000
51960,000000;1498,024414;-0,259161;650,400024
51980,000000;1501,335938;-0,300878;650,400024
52000,000000;1499,876831;-0,250764;651,299988
52020,000000;1502,759399;-0,307951;650,400024
52040,000000;1498,403442;-0,264530;652,200012
52060,000000;1502,337402;-0,300373;651,299988
52080,000000;1500,384766;-0,269744;652,200012
52100,000000;1502,759399;-0,290743;651,299988
52120,000000;1500,863892;-0,264476;651,299988
52140,000000;1502,759399;-0,280653;651,299988
52160,000000;1498,896973;-0,257564;651,299988
52180,000000;1501,335938;-0,303514;650,400024
52200,000000;1499,383423;-0,242387;651,299988
52220,000000;1501,843872;-0,292153;650,400024
52240,000000;1498,968506;-0,267504;651,299988
52260,000000;1501,350342;-0,287632;650,400024
52280,000000;1499,440674;-0,265008;651,299988
52300,000000;1501,843872;-0,308165;650,400024
52320,000000;1499,383423;-0,273481;651,299988
52340,000000;1500,863892;-0,295058;650,400024
52360,000000;1498,496460;-0,266062;650,400024
52380,000000;1501,350342;-0,259157;650,400024
52400,000000;1498,496460;-0,248858;651,299988
52420,000000;1502,280151;-0,267838;650,400024
52440,000000;1498,896973;-0,271218;651,299988
52460,000000;1502,280151;-0,272639;651,299988
52480,000000;1498,896973;-0,283623;651,299988
52500,000000;1502,280151;-0,290566;651,299988
52520,000000;1499,440674;-0,265085;651,299988
52540,000000;1503,324341;-0,293354;650,400024
52560,000000;1499,912720;-0,267200;651,299988
52580,000000;1503,231445;-0,313241;651,299988
52600,000000;1500,370483;-0,245620;651,299988
52620,000000;1503,231445;-0,314868;650,400024
52640,000000;1500,863892;-0,212428;651,299988
52660,000000;1502,830933;-0,301497;650,400024
52680,000000;1499,440674;-0,239975;652,200012
52700,000000;1502,759399;-0,272393;650,400024
52720,000000;1498,896973;-0,218838;651,299988
52740,000000;1501,350342;-0,294710;650,400024
52760,000000;1498,968506;-0,244631;651,299988
52780,000000;1501,335938;-0,277566;650,400024
52800,000000;1498,896973;-0,236805;651,299988
52820,000000;1500,863892;-0,267741;650,400024
52840,000000;1499,383423;-0,228629;651,299988
52860,000000;1500,863892;-0,280237;650,400024
52880,000000;1498,024414;-0,212307;650,400024
52900,000000;1501,808105;-0,263686;650,400024
52920,000000;1499,440674;-0,249813;650,400024
52940,000000;1502,759399;-0,264888;650,400024
52960,000000;1500,370483;-0,243449;651,299988
52980,000000;1502,759399;-0,264437;650,400024
53000,000000;1499,912720;-0,237950;650,400024
53020,000000;1502,759399;-0,251871;649,500000
53040,000000;1498,496460;-0,253970;650,400024
53060,000000;1501,335938;-0,254115;650,400024
53080,000000;1499,440674;-0,251247;650,400024
53100,000000;1501,808105;-0,259832;650,400024
53120,000000;1500,863892;-0,249692;650,400024
53140,000000;1501,843872;-0,250247;650,400024
53160,000000;1500,384766;-0,257909;650,400024
53180,000000;1501,335938;-0,264323;650,400024
53200,000000;1498,968506;-0,279678;650,400024
53220,000000;1500,863892;-0,276118;650,400024
53240,000000;1498,024414;-0,240997;651,299988
53260,000000;1501,808105;-0,273467;650,400024
53280,000000;1499,383423;-0,214132;651,299988
53300,000000;1500,863892;-0,267592;650,400024
53320,000000;1498,496460;-0,232809;651,299988
53340,000000;1499,912720;-0,301328;650,400024
53360,000000;1498,403442;-0,227477;651,299988
53380,000000;1501,843872;-0,255820;650,400024
53400,000000;1498,896973;-0,229389;651,299988
53420,000000;1499,912720;-0,248168;650,400024
53440,000000;1498,496460;-0,215879;651,299988
53460,000000;1500,370483;-0,252281;650,400024
53480,000000;1497,559448;-0,232998;651,299988
53500,000000;1501,335938;-0,271436;650,400024
53520,000000;1498,496460;-0,262948;651,299988
53540,000000;1500,384766;-0,262572;651,299988
53560,000000;1498,403442;-0,267394;652,200012
53580,000000;1502,280151;-0,269503;651,299988
53600,000000;1498,896973;-0,256814;652,200012
53620,000000;1501,335938;-0,228592;651,299988
53640,000000;1499,912720;-0,235434;651,299988
53660,000000;1502,280151;-0,236820;651,299988
53680,000000;1500,863892;-0,227413;651,299988
53700,000000;1503,324341;-0,255933;650,400024
53720,000000;1498,896973;-0,253757;650,400024
53740,000000;1501,808105;-0,284911;650,400024
53760,000000;1499,912720;-0,253346;650,400024
53780,000000;1502,337402;-0,287637;650,400024
53800,000000;1499,912720;-0,298725;651,299988
53820,000000;1500,863892;-0,296040;650,400024
53840,000000;1498,496460;-0,285996;651,299988
53860,000000;1500,863892;-0,291073;650,400024
53880,000000;1498,496460;-0,261238;652,200012
53900,000000;1500,863892;-0,296368;651,299988
53920,000000;1499,876831;-0,250675;652,200012
