X (ms);C0:Drive_1.r63[0];C1:Drive_1.r80[0];C2:Drive_1.r76;C3:Drive_1.r78;C4:Drive_1.r70
9504,000000;345,131561;0,756042;0,875430;0,120804;584,600037
9512,000000;347,430084;0,760730;0,860339;0,121553;588,299988
9520,000000;350,033325;0,714160;0,866264;0,114112;587,400024
9528,000000;353,930115;0,789698;0,873267;0,126182;589,200012
9536,000000;355,884888;0,737064;0,864003;0,117772;588,299988
9544,000000;358,585999;0,739604;0,867163;0,118178;584,600037
9552,000000;360,663177;0,734296;0,865692;0,117329;588,299988
9560,000000;363,965942;0,744162;0,862046;0,114838;587,400024
9568,000000;366,424683;0,721991;0,866987;0,115363;591,100037
9576,000000;368,094574;0,682027;0,861246;0,108978;588,299988
9584,000000;371,143066;0,713035;0,872024;0,113854;584,600037
9592,000000;372,475006;0,726346;0,873372;0,116059;587,400024
9600,000000;375,485291;0,731194;0,865660;0,116834;587,400024
9608,000000;377,471924;0,699469;0,866951;0,119108;591,100037
9616,000000;379,969086;0,690234;0,861671;0,110289;587,400024
9624,000000;382,383545;0,704013;0,874738;0,112491;584,600037
9632,000000;384,167999;0,740052;0,869264;0,118249;588,299988
9640,000000;386,860291;0,703194;0,870501;0,112360;586,500000
9648,000000;389,228394;0,769847;0,869391;0,123837;591,100037
9656,000000;391,147644;0,737825;0,861486;0,117893;588,299988
9664,000000;393,292694;0,737453;0,872295;0,117834;584,600037
9672,000000;395,645020;0,745002;0,858763;0,119040;588,299988
9680,000000;398,060577;0,684315;0,862497;0,109343;587,400024
9688,000000;401,632965;0,693787;0,872371;0,110857;590,200012
9696,000000;403,908020;0,743800;0,865545;0,118848;588,299988
9704,000000;405,717712;0,658073;0,872954;0,105150;584,600037
9712,000000;408,307343;0,735987;0,866323;0,117600;588,299988
9720,000000;411,191742;0,707347;0,874247;0,113023;586,500000
9728,000000;412,767975;0,688532;0,867702;0,110017;591,100037
9736,000000;415,518250;0,735405;0,877046;0,115532;588,299988
9744,000000;417,258301;0,736942;0,864489;0,117752;584,600037
9752,000000;420,601990;0,731509;0,870487;0,116884;588,299988
9760,000000;422,709167;0,730197;0,876564;0,116675;587,400024
9768,000000;425,117798;0,729675;0,868121;0,116591;590,200012
9776,000000;427,269379;0,676381;0,874008;0,108075;588,299988
9784,000000;429,902954;0,717098;0,860792;0,114581;583,700012
9792,000000;432,762207;0,733349;0,872329;0,117178;588,299988
9800,000000;434,764954;0,718297;0,860647;0,114773;586,500000
9808,000000;436,442322;0,760967;0,875759;0,121591;591,100037
9816,000000;439,691742;0,745261;0,861060;0,119081;588,299988
9824,000000;440,818390;0,756527;0,864556;0,120882;584,600037
9832,000000;444,157349;0,707729;0,871429;0,113084;588,299988
9840,000000;446,943054;0,725025;0,879897;0,113991;586,500000
9848,000000;448,425476;0,738975;0,870893;0,118077;590,200012
9856,000000;451,473480;0,689065;0,875488;0,110102;588,299988
9864,000000;453,223541;0,708247;0,879088;0,113167;584,600037
9872,000000;455,812714;0,802362;0,874922;0,127919;588,299988
9880,000000;457,356934;0,750284;0,883499;0,119884;586,500000
9888,000000;461,015198;0,737986;0,879400;0,117919;591,100037
9896,000000;462,993896;0,726839;0,881214;0,116138;588,299988
9904,000000;465,549561;0,770950;0,877501;0,123186;584,600037
9912,000000;467,359528;0,779666;0,877843;0,124579;588,299988
9920,000000;470,599854;0,693286;0,882197;0,110777;587,400024
9928,000000;472,371063;0,686104;0,879920;0,109629;591,100037
9936,000000;475,368744;0,784766;0,876570;0,125394;588,299988
9944,000000;476,801086;0,761417;0,878251;0,121663;583,700012
9952,000000;479,223328;0,689105;0,880980;0,110109;587,400024
9960,000000;482,752808;0,701218;0,876893;0,112044;586,500000
9968,000000;484,800232;0,805897;0,886909;0,128770;591,100037
9976,000000;487,128540;0,762385;0,876755;0,121818;588,299988
9984,000000;489,743561;0,715753;0,873295;0,114366;583,700012
9992,000000;491,705078;0,761931;0,878179;0,114008;588,299988
10000,000000;494,084747;0,681677;0,893923;0,108922;586,500000
10008,000000;496,533447;0,813841;0,871430;0,130040;592,000000
10016,000000;499,206268;0,829207;0,884389;0,132495;588,299988
10024,000000;501,680023;0,760565;0,870488;0,121527;583,700012
10032,000000;503,591187;0,765483;0,889830;0,122313;588,299988
10040,000000;506,398651;0,694847;0,875808;0,112633;586,500000
10048,000000;509,024170;0,732325;0,884261;0,117015;591,100037
10056,000000;511,592224;0,744291;0,882439;0,118927;588,299988
10064,000000;512,795837;0,723627;0,871889;0,120252;583,700012
10072,000000;515,528992;0,744540;0,885135;0,118966;589,200012
10080,000000;519,007996;0,718697;0,874730;0,114837;586,500000
10088,000000;520,639221;0,726166;0,893275;0,116030;591,100037
10096,000000;523,183777;0,812514;0,872835;0,129828;588,299988
10104,000000;525,908447;0,749791;0,889116;0,119805;583,700012
10112,000000;527,837891;0,835361;0,872081;0,133478;588,299988
10120,000000;529,957031;0,713310;0,884630;0,113976;587,400024
